"Date.Made.Public","Company","City","State","Type.of.breach","Type.of.organization","Total.Records","Description.of.incident","Information.Source","Source.URL","Year.of.Breach","Latitude","Longitude","X","X.1","X.2","total_records","date","date_next","time","log_time","log_size","flag_train"
"1/10/2005","George Mason University","Fairfax","Virginia","HACK","EDU","32,000","Names, photos, and Social Security numbers of 32,000 students and staff were compromised because of a hacker attack on the University's main ID server.","Dataloss DB","",2005,38.846224,-77.306373,NA,NA,"",32000,2005-01-10,2005-01-18,8,2.07944154167984,10.3734911817819,1
"1/18/2005","University of California, San Diego","San Diego","California","HACK","EDU","3,500","A hacker breached the security of two University computers that stored the Social Security numbers and names of students and alumni of UCSD Extension.","Dataloss DB","",2005,32.715329,-117.157255,NA,NA,"",3500,2005-01-18,2005-03-08,49,3.89182029811063,8.1605182474775,1
"3/8/2005","DSW Shoe Warehouse, Retail Ventures","Columbus","Ohio","HACK","BSR","1,400,000","Credit card information from customers in 25 states was compromised. UPDATE (04/19/2005): An additional 
              
              1,300,000 customers were added to the initial estimate of 100,000.UPDATE (08/23/2012): DSW was locked in a dispute with National Union over insurance coverage.  A federal appellate court ruled that DSW was entitled to insurance coverage of more than $6.8 million in stipulated losses and prejudgment interest.","Dataloss DB","",2005,39.961176,-82.998794,NA,NA,"",1400000,2005-03-08,2005-03-11,3,1.09861228866811,14.1519827945855,1
"3/11/2005","Boston College","Boston","Massachusetts","HACK","EDU","120,000","A hacker gained access to a phone banking database that included alumni addresses and Social Security numbers.","Dataloss DB","",2005,42.358431,-71.059773,NA,NA,"",120000,2005-03-11,2005-03-16,5,1.6094379124341,11.6952470217642,1
"3/16/2005","California State University, Chico","Chico","California","HACK","EDU","59,000","A university housing and food service computer server containing names and Social Security numbers of faculty, staff, students, former students, and prospective students was hacked.","Dataloss DB","",2005,39.728494,-121.837478,NA,NA,"",59000,2005-03-16,2005-03-20,4,1.38629436111989,10.9852927228879,1
"3/20/2005","University of Nevada, Las Vegas","Las Vegas","Nevada","HACK","EDU","5,000","A hacker was caught accessing the University's server and may have gotten information from the Student Exchange and Visitor Information System (SEVIS).","Dataloss DB","",2005,36.114646,-115.172816,NA,NA,"",5000,2005-03-20,2005-03-20,0.2655086631421,-1.32610780929538,8.51719319141624,1
"3/20/2005","Northwestern University","Evanston","Illinois","HACK","EDU","17,500","Hackers gained access to multiple computers and gathered user ID and password information from the University's network.  The personal information for around 500 faculty members, 2000 staff members, and 14,000 alumni was compromised.  ","Media","",2005,42.041141,-87.690059,NA,NA,"",17500,2005-03-20,2005-03-25,5,1.6094379124341,9.76995615991161,1
"3/25/2005","Purdue University","West Lafayette","Indiana","HACK","EDU","1,200","Computers in the College              of Liberal Arts' Theater Dept. were hacked, exposing personal information              of employees, students, graduates, and business affiliates.","Dataloss DB","",2005,40.425869,-86.908066,NA,NA,"",1200,2005-03-25,2005-04-05,11,2.39789527279837,7.09007683577609,1
"4/5/2005","University of California, Davis","Davis","California","HACK","EDU","1,100","The names and Social Security 
            numbers of students, faculty, visiting speakers and staff may have 
            been compromised when a hacker accessed a main computer.","Dataloss DB","",2005,38.544907,-121.740517,NA,NA,"",1100,2005-04-05,2005-04-06,1,0,7.00306545878646,1
"4/6/2005","University of California, San Francisco (UCSF)","San Francisco","California","HACK","EDU","7,000","A server in the accounting 
            and personnel departments was hacked. It contained information on 
            7,000 students, faculty, and staff members. The affected individuals 
            were notified March 23.","Dataloss DB","",2005,37.77493,-122.419416,NA,NA,"",7000,2005-04-06,2005-04-08,2,0.693147180559945,8.85366542803745,1
